web_browser,operating_sys,from_url,to_url,city,longitude,latitude,timezone,time_in,time_out
Mozilla,Windows,direct,forecast.weather.gov,Summerville,32.964699,-80.2015,America/New_York,1970-01-01 00:00:01.331923345,1970-01-01 00:00:01.312280809
Mozilla,Windows,t.co,www.nasa.gov,Toronto,43.666698,-79.416702,America/Rainy_River,1970-01-01 00:00:01.331923348,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.aashtojournal.org,thomas.loc.gov,Washington,38.909698,-77.023102,America/New_York,1970-01-01 00:00:01.331923349,1970-01-01 00:00:01.320859236
Mozilla,Windows,www.aashtojournal.org,www.dot.ca.gov,Berkeley,37.878101,-122.271004,America/Los_Angeles,1970-01-01 00:00:01.331923351,1970-01-01 00:00:01.331757763
Mozilla,Macintosh,t.co,www.nasa.gov,Cincinnati,39.169899,-84.485901,America/New_York,1970-01-01 00:00:01.331923351,1970-01-01 00:00:01.331908247
Mozilla,Windows,www.srh.noaa.gov,www.srh.noaa.gov,Albuquerque,35.102501,-106.611702,America/Denver,1970-01-01 00:00:01.331923352,1970-01-01 00:00:01.331888586
Mozilla,Windows,www.facebook.com,www.nasa.gov,Vernon Rockville,41.836498,-72.463203,America/New_York,1970-01-01 00:00:01.331923352,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,t.co,www.nature.nps.gov,Brooklyn,40.702099,-73.942299,America/New_York,1970-01-01 00:00:01.331923355,1970-01-01 00:00:01.331921833
Mozilla,Windows,www.facebook.com,www.nasa.gov,Cracow,50.083302,19.9167,Europe/Warsaw,1970-01-01 00:00:01.331923357,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nysdot.gov,Laurel,39.096699,-76.877899,America/New_York,1970-01-01 00:00:01.331923358,1970-01-01 00:00:01.319563556
Mozilla,Windows,direct,www.fbi.gov,Annandale,38.8381,-77.212097,America/New_York,1970-01-01 00:00:01.331923358,1970-01-01 00:00:01.331910606
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923359,1970-01-01 00:00:01.273672411
Mozilla,Windows,www.shrewsbury-ma.gov,www.shrewsbury-ma.gov,Shrewsbury,42.286499,-71.714699,America/New_York,1970-01-01 00:00:01.331923359,1970-01-01 00:00:01.273672506
Mozilla,Windows,www.facebook.com,www.nasa.gov,Sorrento,40.616699,14.3667,Europe/Rome,1970-01-01 00:00:01.331923360,1970-01-01 00:00:01.331922854
Mozilla,Windows,www.facebook.com,nationalmap.gov,Austin,30.4,-97.7528,America/Chicago,1970-01-01 00:00:01.331923359,1970-01-01 00:00:01.314214424
Mozilla,Windows,www.facebook.com,www.nasa.gov,Cracow,50.083302,19.9167,Europe/Warsaw,1970-01-01 00:00:01.331923361,1970-01-01 00:00:01.331922854
Mozilla,iPhone,direct,www.healthcare.gov,Colorado Springs,38.8326,-104.740501,America/Denver,1970-01-01 00:00:01.331923362,1970-01-01 00:00:01.331918691
Mozilla,Windows,www.facebook.com,www.nasa.gov,Zdunska Wola,51.599998,18.9333,Europe/Warsaw,1970-01-01 00:00:01.331923363,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nasa.gov,Catania,37.5,15.1,Europe/Rome,1970-01-01 00:00:01.331923365,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,direct,www.nysdot.gov,White Plains,41.029099,-73.758003,America/New_York,1970-01-01 00:00:01.331923369,1970-01-01 00:00:01.319563556
Mozilla,Windows,t.co,www.cdc.gov,Torrance,33.835201,-118.328903,America/Los_Angeles,1970-01-01 00:00:01.331923368,1970-01-01 00:00:01.331254100
Mozilla,Macintosh,plus.url.google.com,www.nasa.gov,Seattle,47.5951,-122.332603,America/Los_Angeles,1970-01-01 00:00:01.331923371,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1970-01-01 00:00:01.331923371,1970-01-01 00:00:01.331921801
Mozilla,Windows,direct,www.nysdot.gov,Alexandria,38.790901,-77.094704,America/New_York,1970-01-01 00:00:01.331923371,1970-01-01 00:00:01.319563556
Mozilla,Windows,www.facebook.com,www.nasa.gov,Vordorf,52.366699,10.5333,Europe/Berlin,1970-01-01 00:00:01.331923373,1970-01-01 00:00:01.331922854
Mozilla,iPad,https:,www.whitehouse.gov,Milan,35.925098,-88.785797,America/Chicago,1970-01-01 00:00:01.331923377,1970-01-01 00:00:01.331840856
Mozilla,Windows,direct,earthobservatory.nasa.gov,Dallas,32.782501,-96.820702,America/Chicago,1970-01-01 00:00:01.331923378,1970-01-01 00:00:01.327355742
Mozilla,Windows,direct,www.nysdot.gov,Philadelphia,39.996799,-75.148499,America/New_York,1970-01-01 00:00:01.331923379,1970-01-01 00:00:01.319563556
Mozilla,Windows,www.facebook.com,www.nasa.gov,Prague,50.083302,14.4667,Europe/Prague,1970-01-01 00:00:01.331923380,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nasa.gov,Dallas,32.782501,-96.820702,America/Chicago,1970-01-01 00:00:01.331923382,1970-01-01 00:00:01.327085692
Mozilla,Windows,t.co,www.nlm.nih.gov,Barcelona,41.383301,2.1833,Europe/Madrid,1970-01-01 00:00:01.331923383,1970-01-01 00:00:01.331918641
Mozilla,Windows,t.co,www.nasa.gov,Rio De Janeiro,-22.9,-43.233299,America/Sao_Paulo,1970-01-01 00:00:01.331923383,1970-01-01 00:00:01.331918414
Mozilla,Windows,t.co,www.fairfaxcounty.gov,Morrisville,40.195702,-74.812698,America/New_York,1970-01-01 00:00:01.331923385,1970-01-01 00:00:01.331916658
Mozilla,Windows,www.facebook.com,www.nasa.gov,Kiskunhalas,46.4314,19.487499,Europe/Budapest,1970-01-01 00:00:01.331923387,1970-01-01 00:00:01.331908247
Mozilla,Windows,www.facebook.com,www.nasa.gov,Bangkok,13.75,100.516701,Asia/Bangkok,1970-01-01 00:00:01.331923387,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,direct,www.nysdot.gov,Danville,37.812901,-121.974297,America/Los_Angeles,1970-01-01 00:00:01.331923390,1970-01-01 00:00:01.319563556
Mozilla,iPhone,direct,www.nasa.gov,Fairbanks,64.818497,-147.721603,America/Anchorage,1970-01-01 00:00:01.331923390,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nysdot.gov,Allentown,40.567799,-75.482803,America/New_York,1970-01-01 00:00:01.331923391,1970-01-01 00:00:01.319563556
Mozilla,Windows,www.facebook.com,www.nasa.gov,Gliwice,50.283298,18.6667,Europe/Warsaw,1970-01-01 00:00:01.331923396,1970-01-01 00:00:01.331922854
Mozilla,Windows,t.co,www.cdc.gov,New Iberia,29.957899,-91.872101,America/Chicago,1970-01-01 00:00:01.331923396,1970-01-01 00:00:01.331921618
Mozilla,Windows,t.co,www.cbo.gov,Cumming,34.188202,-84.159203,America/New_York,1970-01-01 00:00:01.331923397,1970-01-01 00:00:01.331908890
Mozilla,Windows,t.co,earthobservatory.nasa.gov,Torrevieja,37.983299,-0.6833,Europe/Madrid,1970-01-01 00:00:01.331923399,1970-01-01 00:00:01.321047593
Mozilla,iPhone,t.co,www.ncbi.nlm.nih.gov,Tokyo,35.685001,139.751404,Asia/Tokyo,1970-01-01 00:00:01.331923397,1970-01-01 00:00:01.331908395
Mozilla,Macintosh,www.facebook.com,www.nasa.gov,American Fork,40.393002,-111.783798,America/Denver,1970-01-01 00:00:01.331923400,1970-01-01 00:00:01.331922854
Mozilla,PLAYSTATION,m.facebook.com,www.nasa.gov,Stockport,53.400002,-2.15,Europe/London,1970-01-01 00:00:01.331923405,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.nysdot.gov,Raleigh,35.8713,-78.539398,America/New_York,1970-01-01 00:00:01.331923406,1970-01-01 00:00:01.319563556
Mozilla,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1970-01-01 00:00:01.331923407,1970-01-01 00:00:01.331922709
Mozilla,Windows,www.facebook.com,www.whitehouse.gov,Grinnell,41.721699,-92.717598,America/Chicago,1970-01-01 00:00:01.331923408,1970-01-01 00:00:01.331877976
Mozilla,Windows,nationalmap.gov,nationalmap.gov,Ashburn,39.016499,-77.506203,America/New_York,1970-01-01 00:00:01.331923409,1970-01-01 00:00:01.307117230
Mozilla,Windows,www.facebook.com,www.nasa.gov,Jochberg,47.383301,12.4,Europe/Vienna,1970-01-01 00:00:01.331923411,1970-01-01 00:00:01.331921291
Mozilla,Windows,direct,www.nysdot.gov,Stuart,27.077499,-80.258698,America/New_York,1970-01-01 00:00:01.331923411,1970-01-01 00:00:01.319563556
Mozilla,Macintosh,direct,www.nysdot.gov,White Plains,41.029099,-73.758003,America/New_York,1970-01-01 00:00:01.331923412,1970-01-01 00:00:01.319563556
Mozilla,Windows,plus.url.google.com,www.nasa.gov,Denver,39.743698,-104.979301,America/Denver,1970-01-01 00:00:01.331923412,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,www.whitehouse.gov,Dallas,32.782501,-96.820702,America/Chicago,1970-01-01 00:00:01.331923413,1970-01-01 00:00:01.326918781
Mozilla,Windows,direct,www.cnic.navy.mil,Mililani,21.4701,-157.963699,Pacific/Honolulu,1970-01-01 00:00:01.331923415,1970-01-01 00:00:01.331922709
Mozilla,Linux,t.co,www.fbi.gov,Grand Rapids,42.9384,-85.6436,America/New_York,1970-01-01 00:00:01.331923415,1970-01-01 00:00:01.331921421
Mozilla,Windows,www.facebook.com,www.nasa.gov,Tucson,32.2132,-110.887299,America/Phoenix,1970-01-01 00:00:01.331923415,1970-01-01 00:00:01.331922854
Mozilla,Windows,direct,toxtown.nlm.nih.gov,Marietta,33.953201,-84.5177,America/New_York,1970-01-01 00:00:01.331923417,1970-01-01 00:00:01.255769846
Mozilla,Macintosh,direct,www.federalreserve.gov,Bellevue,47.615398,-122.210297,America/Los_Angeles,1970-01-01 00:00:01.331923422,1970-01-01 00:00:01.331586192
Mozilla,Windows,www.facebook.com,www.nasa.gov,Lisbon,38.716702,-9.1333,Europe/Lisbon,1970-01-01 00:00:01.331923422,1970-01-01 00:00:01.331922854
Mozilla,Macintosh,direct,www.nysdot.gov,San Francisco,37.7645,-122.429398,America/Los_Angeles,1970-01-01 00:00:01.331923421,1970-01-01 00:00:01.319563556
